rup_mag,rup_dip,rup_rake,rup_ztor,rup_width,dist_rrup,dist_rjb,dist_rx,dist_ry0,site_vs30,site_z1pt0,result_type,damping,PGA,SA(0.1),SA(0.2),SA(0.5),SA(1.0),SA(2.0),SA(3.0),SA(5.0),SA(10.0)
5.000000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.427000,0.427000,0.427000,0.427000,0.427000,0.427000,0.427000,0.427000,0.427000
5.000000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.713100,0.797400,0.748100,0.644600,0.579700,0.523900,0.498600,0.478900,0.470000
6.500000,45.000000,90.000000,0.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,MEAN,5,-2.091427,-1.309747,-1.268147,-1.637623,-2.236226,-2.937597,-3.383457,-4.103534,-5.522005
6.500000,45.000000,90.000000,0.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
6.500000,45.000000,90.000000,0.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
6.500000,45.000000,90.000000,0.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
6.500000,45.000000,90.000000,10.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,MEAN,5,-1.140662,-0.319382,-0.291182,-0.750682,-1.633772,-3.090859,-3.872125,-4.676034,-5.702705
6.500000,45.000000,90.000000,10.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
6.500000,45.000000,90.000000,10.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
6.500000,45.000000,90.000000,10.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
6.500000,45.000000,90.000000,0.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,MEAN,5,-3.337185,-2.625185,-2.538385,-2.844985,-3.408235,-4.114453,-4.592898,-5.296181,-6.581693
6.500000,45.000000,90.000000,0.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
6.500000,45.000000,90.000000,0.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
6.500000,45.000000,90.000000,0.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
6.500000,45.000000,90.000000,10.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,MEAN,5,-2.685285,-1.933685,-1.860285,-2.236985,-3.054835,-4.442053,-5.181188,-5.868681,-6.762393
6.500000,45.000000,90.000000,10.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
6.500000,45.000000,90.000000,10.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
6.500000,45.000000,90.000000,10.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
6.500000,45.000000,90.000000,0.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,MEAN,5,-5.595216,-5.144516,-4.888216,-4.884316,-5.202916,-5.660961,-6.022471,-6.505741,-7.670421
6.500000,45.000000,90.000000,0.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
6.500000,45.000000,90.000000,0.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
6.500000,45.000000,90.000000,0.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
